Cabaret,1972,PG,13 Feb 1972,124 min,"Drama, Musical",Bob Fosse,"Joe Masteroff (based on the musical play ""Cabaret"" book by), John Van Druten (based on the play by), Christopher Isherwood (stories), Jay Presson Allen (screenplay)","Liza Minnelli, Michael York, Helmut Griem, Joel Grey",A female girlie club entertainer in Weimar Republic era Berlin romances two men while the Nazi Party rises to power around them.,"English, German, Hebrew, French",USA,Won 8 Oscars. Another 27 wins & 15 nominations.,http://ia.media-imdb.com/images/M/MV5BMTc2ODY3NjcxNV5BMl5BanBnXkFtZTYwODg3Mjg4._V1_SX300.jpg,80,7.9,"36,130",tt0068327,movie,True
Phobia,2016,N/A,27 May 2016,112 min,"Drama, Mystery, Thriller",Pawan Kripalani,"Pawan Kripalani, Arun Sukumar, Pooja Ladha Surti","Radhika Apte, Nivedita Bhattacharya, Yashaswini Dayama, Satyadeep Misra","An agoraphobic young woman, traumatized by past events, finds herself trapped and terrorized in her own home.",Hindi,India,N/A,http://ia.media-imdb.com/images/M/MV5BMDJlZjcyZjEtZmY3YS00NDRlLWI2NDYtNjk5MzE5Nzk5YWVmXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,N/A,7.2,395,tt5743656,movie,True
Veerappan,2016,N/A,27 May 2016,125 min,Action,Ram Gopal Varma,"Jai Priyadarshi (additional dialogue), R.D. Tailang","Usha Jadhav, Raj Singh Arora, Sandeep Bharadwaj, Sachiin Joshi","Officer Kannan leads a group of police officers to track down the bandit, Veerappan.",Hindi,India,N/A,http://ia.media-imdb.com/images/M/MV5BZThiNDBmMDctMDhjYS00M2I3LTk4ZjEtZDI5MmFjZjRjOGYxXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,N/A,5.2,211,tt5632164,movie,True
Fredrick,2016,N/A,27 May 2016,129 min,Thriller,Rajesh Butalia,Rajesh Butalia,"Avinash Dhyani, Prashant Narayanan, Tuhina Butalia",A suspended cop and his wife try to find out his sister when he gets caught in a human trafficking nexus. But the mastermind behind this is someone unknown to everyone.,Hindi,India,N/A,N/A,N/A,N/A,N/A,tt5760490,movie,True
Waiting,2015,N/A,27 May 2016,92 min,Drama,Anu Menon,"Atika Chohan (dialogue), Anu Menon, James Ruzicka","Naseeruddin Shah, Kalki Koechlin, Rajat Kapoor, Arjun Mathur",Shiv and Tara support each other while their partners are healing at the hospital.,"English, Hindi",India,N/A,http://ia.media-imdb.com/images/M/MV5BZDMwYjQ0YTAtZjQ3MC00YzA2LWExZTEtZWMyNzg5NTQ0YWMwXkEyXkFqcGdeQXVyMjQwOTU5NTg@._V1_SX300.jpg,N/A,7.5,111,tt4818930,movie,True
Housefull,2010,N/A,30 Apr 2010,144 min,Comedy,Sajid Khan,"Anvita Dutt Guptan (dialogues), Sajid Khan (screenplay), Sajid Nadiadwala (story), Sameer (lyrics), Vibha Singh (screenplay), Milap Zaveri (screenplay)","Akshay Kumar, Riteish Deshmukh, Arjun Rampal, Deepika Padukone","Believing himself to be jinxed, a man attempts to find true love, but instead gets caught in a web of lies.","Hindi, Gujarati",India,5 wins & 11 nominations.,http://ia.media-imdb.com/images/M/MV5BMDlkMmRkM2QtYmZiMi00NWYzLThmMjEtN2IwMTNhMDFkODA0XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,N/A,5.3,"8,452",tt1573072,movie,True
Raaz,1967,N/A,N/A,N/A,"Thriller, Mystery",Ravindra Dave,"Satish Bhatnagar (dialogue), Satish Bhatnagar (screenplay), C.J. Pavri (story)","Rajesh Khanna, Babita Kapoor, I.S. Johar, Khurshid","Kumar, though of Indian origin, lives in Africa. He has recurring dreams of a Railway Station in India called ""Viran Nagar"". He decides to find for himself and travels to India along with ...",Hindi,India,N/A,http://ia.media-imdb.com/images/M/MV5BMTc3OTUwODU2OV5BMl5BanBnXkFtZTcwODg1ODgzMQ@@._V1_SX300.jpg,N/A,7.1,71,tt0206238,movie,True
Te3n,2016,N/A,10 Jun 2016,136 min,"Drama, Mystery, Thriller",Ribhu Dasgupta,"Bijesh Jayarajan (screenplay), Suresh Nair (screenplay), Ritesh Shah (dialogue)","Amitabh Bachchan, Nawazuddin Siddiqui, Vidya Balan","A grandfather, police officer and a priest join hands to investigate and find a missing child.",Hindi,India,N/A,http://ia.media-imdb.com/images/M/MV5BMzE2NDYzNDc1OV5BMl5BanBnXkFtZTgwNTI1ODA4ODE@._V1_SX300.jpg,N/A,7.6,618,tt5119934,movie,True
Junooniyat,2016,N/A,24 Jun 2016,155 min,"Drama, Romance",Vivek Agnihotri,"Vivek Agnihotri, Priti Singh","Taran Bajaj, Manoj Bakshi, Madhuri D. Bandiwedkar, Hrishitaa Bhatt","Captain Jahan Bakshi rescues a Punjabi girl, Suhani. This starts a friendship that evolves into a passionate love affair.",Hindi,India,N/A,http://ia.media-imdb.com/images/M/MV5BOGUwYjIxNzYtODA4Ni00YzExLWE3NDctZDlmZGJkNWIwNzU3XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,N/A,4.7,18,tt3840534,movie,True
A Scandall,2016,N/A,24 Jun 2016,156 min,Thriller,Ishaan Trivedi,Ishaan Trivedi,"Johnny Baweja, Reeth Mazumder, Manav Kaul, Puru Chibber",N/A,Hindi,India,N/A,http://ia.media-imdb.com/images/M/MV5BOTdhZmU4NDUtNDRjOC00ODMwLTk2ZWEtZDUxNzM4MGMxY2U4XkEyXkFqcGdeQXVyNjc0ODEyMjk@._V1_SX300.jpg,N/A,N/A,N/A,tt5780570,movie,True
